locationNo	zipcode	address	addressDetail
1	6335	서울특별시 강남구 개포동	12~
2	6335	서울특별시 강남구 개포동	12~
3	6334	서울특별시 강남구 개포동	12~
4	6334	서울특별시 강남구 개포동	44897~
5	6335	서울특별시 강남구 개포동	44899~44905
6	6334	서울특별시 강남구 개포동	13~44574
7	6336	서울특별시 강남구 개포동	44605~
8	6336	서울특별시 강남구 개포동	44633~44695
9	6358	서울특별시 강남구 개포동	24473~
10	6358	서울특별시 강남구 개포동	108~
11	6358	서울특별시 강남구 개포동	131~
12	6327	서울특별시 강남구 개포동	138~139
13	6326	서울특별시 강남구 개포동	140~
14	6322	서울특별시 강남구 개포동	141~
15	6324	서울특별시 강남구 개포동	152~156
16	6325	서울특별시 강남구 개포동	157~157-9
17	6325	서울특별시 강남구 개포동	158~
18	6325	서울특별시 강남구 개포동	158-1~161-1
19	6325	서울특별시 강남구 개포동	161-2~
20	6325	서울특별시 강남구 개포동	161-3~
21	6325	서울특별시 강남구 개포동	161-4~
22	6325	서울특별시 강남구 개포동	162~168-11
23	6325	서울특별시 강남구 개포동	169~
24	6325	서울특별시 강남구 개포동	169-1~172-11
25	6324	서울특별시 강남구 개포동	173~
26	6323	서울특별시 강남구 개포동	174~175-3
27	6323	서울특별시 강남구 개포동	175-4~
28	6323	서울특별시 강남구 개포동	176-1~
29	6323	서울특별시 강남구 개포동	176-2~
30	6323	서울특별시 강남구 개포동	177~179
31	6323	서울특별시 강남구 개포동	181~
32	6328	서울특별시 강남구 개포동	182~184
33	6330	서울특별시 강남구 개포동	185~
34	6329	서울특별시 강남구 개포동	186~187
35	6331	서울특별시 강남구 개포동	188~189-3
36	6324	서울특별시 강남구 개포동	195~
37	6358	서울특별시 강남구 개포동	565-3~
38	6358	서울특별시 강남구 개포동	570~
39	6317	서울특별시 강남구 개포동	649~
40	6318	서울특별시 강남구 개포동	650~651-1
41	6319	서울특별시 강남구 개포동	652~
42	6320	서울특별시 강남구 개포동	653~
43	6305	서울특별시 강남구 개포동	654~655-4
44	6310	서울특별시 강남구 개포동	656~656-1
45	6316	서울특별시 강남구 개포동	658~658-1
46	6321	서울특별시 강남구 개포동	660-1~660-10
47	6322	서울특별시 강남구 개포동	660-13~
48	6322	서울특별시 강남구 개포동	660-14~660-22
49	6322	서울특별시 강남구 개포동	660-23~
50	6322	서울특별시 강남구 개포동	660-24~660-30
51	6322	서울특별시 강남구 개포동	660-31~
52	6322	서울특별시 강남구 개포동	660-32~660-33
53	6322	서울특별시 강남구 개포동	660-34~660-35
54	6321	서울특별시 강남구 개포동	660-37~
